"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2005","Luxembourg","Passenger","Passengers on board (departures)","Total","Total transport","773,064",""
"2005","Luxembourg","Passenger","Passengers carried","Total","Total transport","1,538,152",""
"2005","Luxembourg","Passenger","Passengers carried (arrival)","Total","Total transport","765,088",""
"2005","Luxembourg","Passenger","Passengers carried (departures)","Total","Total transport","773,064",""
"2005","Hungary","Passenger","Passengers on board","Total","Total transport","7,918,083",""
"2005","Hungary","Passenger","Passengers on board (arrivals)","Total","Total transport","3,923,907",""
"2005","Hungary","Passenger","Passengers on board (departures)","Total","Total transport","3,994,176",""
"2005","Hungary","Passenger","Passengers carried","Total","Total transport","7,918,083",""
"2005","Hungary","Passenger","Passengers carried (arrival)","Total","Total transport","3,923,907",""
"2005","Hungary","Passenger","Passengers carried (departures)","Total","Total transport","3,994,176",""
"2005","Malta","Passenger","Passengers on board","Total","Total transport","2,757,240",""
"2005","Malta","Passenger","Passengers on board (arrivals)","Total","Total transport","1,378,467",""
"2005","Malta","Passenger","Passengers on board (departures)","Total","Total transport","1,378,773",""
"2005","Malta","Passenger","Passengers carried","Total","Total transport","2,757,240",""
"2005","Malta","Passenger","Passengers carried (arrival)","Total","Total transport","1,378,467",""
"2005","Malta","Passenger","Passengers carried (departures)","Total","Total transport","1,378,773",""
"2005","Netherlands","Passenger","Passengers on board","Total","Total transport","46,690,206",""
"2005","Netherlands","Passenger","Passengers on board (arrivals)","Total","Total transport","23,245,460",""
"2005","Netherlands","Passenger","Passengers on board (departures)","Total","Total transport","23,539,605",""
"2005","Netherlands","Passenger","Passengers carried","Total","Total transport","46,433,037",""
"2005","Netherlands","Passenger","Passengers carried (arrival)","Total","Total transport","23,134,037",""
"2005","Netherlands","Passenger","Passengers carried (departures)","Total","Total transport","23,377,925",""
"2005","Austria","Passenger","Passengers on board","Total","Total transport","19,945,405",""
"2005","Austria","Passenger","Passengers on board (arrivals)","Total","Total transport","10,259,266",""
"2005","Austria","Passenger","Passengers on board (departures)","Total","Total transport","10,287,663",""
"2005","Austria","Passenger","Passengers carried","Total","Total transport","19,684,822",""
"2005","Austria","Passenger","Passengers carried (arrival)","Total","Total transport","10,113,260",""
"2005","Austria","Passenger","Passengers carried (departures)","Total","Total transport","10,141,855",""
"2005","Poland","Passenger","Passengers on board","Total","Total transport","7,080,176",""
"2005","Poland","Passenger","Passengers on board (arrivals)","Total","Total transport","3,516,054",""
"2005","Poland","Passenger","Passengers on board (departures)","Total","Total transport","3,564,122",""
"2005","Poland","Passenger","Passengers carried","Total","Total transport","7,080,325",""
"2005","Poland","Passenger","Passengers carried (arrival)","Total","Total transport","3,516,129",""
"2005","Poland","Passenger","Passengers carried (departures)","Total","Total transport","3,564,196",""
"2005","Portugal","Passenger","Passengers on board","Total","Total transport","20,184,154",""
"2005","Portugal","Passenger","Passengers on board (arrivals)","Total","Total transport","11,760,188",""
"2005","Portugal","Passenger","Passengers on board (departures)","Total","Total transport","11,396,575",""
