"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2008","Czechia","Flight","Commercial passenger air flights","Total","Total transport","180,589",""
"2008","Denmark","Flight","Commercial passenger air flights","Total","Total transport","304,428",""
"2008","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,734,776",""
"2008","Estonia","Flight","Commercial passenger air flights","Total","Total transport","31,719",""
"2008","Ireland","Flight","Commercial passenger air flights","Total","Total transport","257,876",""
"2008","Greece","Flight","Commercial passenger air flights","Total","Total transport","322,466",""
"2008","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,421,113",""
"2008","France","Flight","Commercial passenger air flights","Total","Total transport","1,435,606",""
"2008","Italy","Flight","Commercial passenger air flights","Total","Total transport","1,074,529",""
"2008","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","68,558",""
"2008","Latvia","Flight","Commercial passenger air flights","Total","Total transport","53,839",""
"2008","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","39,665",""
"2008","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","39,257",""
"2008","Hungary","Flight","Commercial passenger air flights","Total","Total transport","104,511",""
"2008","Malta","Flight","Commercial passenger air flights","Total","Total transport","27,068",""
"2008","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","458,194",""
"2008","Austria","Flight","Commercial passenger air flights","Total","Total transport","315,137",""
"2008","Poland","Flight","Commercial passenger air flights","Total","Total transport","236,925",""
"2008","Portugal","Flight","Commercial passenger air flights","Total","Total transport","247,483",""
"2008","Romania","Flight","Commercial passenger air flights","Total","Total transport","113,203",""
"2008","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","32,522",""
"2008","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","31,033",""
"2008","Finland","Flight","Commercial passenger air flights","Total","Total transport","194,004",""
"2008","Sweden","Flight","Commercial passenger air flights","Total","Total transport","333,871",""
"2008","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,909,875",""
"2008","Iceland","Flight","Commercial passenger air flights","Total","Total transport","17,626",""
