run,airline,num flights,initial,max_reduction,udpp,model,offers
2,H,3,2391.7340598428664,2292.532764194349,2391.7340598428664,2391.7340598428664,0
2,K,2,1255.0702597612858,1205.6508776332107,1242.3242151703284,1242.3242151703284,0
2,N,1,1137.726364791249,467.5075463474888,1137.726364791249,1137.726364791249,0
3,total,50,20349.449355467823,16522.078021127305,18163.871550350643,17931.882027587944,2
3,A,8,2615.29750894694,2608.2861528230133,2144.182203342869,2144.182203342869,0
3,I,3,30.768537542663346,30.768537542663346,30.768537542663346,30.768537542663346,0
3,K,2,47.513550620660936,28.03698780247378,47.513550620660936,47.513550620660936,0
3,O,1,6.480687868773346,6.480687868773346,6.480687868773346,6.480687868773346,0
3,D,5,2805.778123138958,1298.4036145015077,2805.778123138958,2707.6823649627904,1
3,J,2,928.0543097257246,414.7945690484842,928.0543097257246,928.0543097257246,0
3,F,4,2175.203815030406,2160.55772959089,1624.7066645334453,1621.8124999098327,1
3,C,5,1795.7452256683075,1791.7758560782622,1655.9423504160566,1655.9423504160563,0
3,B,6,3152.7576821440043,2798.4478306260344,2614.8697407357636,2600.787148056684,1
3,L,1,98.51916271541269,98.51916271541269,98.51916271541269,98.51916271541269,0
3,E,4,1707.4004807261601,1706.7884117646363,1707.4004807261601,1590.4834734423266,1
3,G,4,2840.3585132242933,1785.8264861251394,2354.083980868631,2354.083980868631,0
3,N,1,430.06161002912376,98.36947979872207,430.06161002912376,430.06161002912376,0
3,H,3,1487.0195346098392,1466.5319013647359,1487.0195346098392,1487.0195346098392,0
3,M,1,228.4906134765608,228.4906134765608,228.4906134765608,228.4906134765608,0
4,total,50,18715.75711854755,16671.53011701569,17842.943559401316,17674.23663536414,2
4,A,8,3098.9244832853174,1540.413582738869,3096.5305448188274,3022.1336299714953,1
4,F,4,906.8105665625258,896.6750657650491,837.8155323114372,837.8155323114372,0
4,B,8,2876.5959627234224,2875.478747791412,2744.6101424675726,2714.7593033828166,1
4,O,1,28.799237643192704,3.199915293688078,28.799237643192704,28.799237643192704,0
4,J,2,303.30273311893103,295.93129311085653,303.30273311893103,303.30273311893103,0
4,L,1,20.30109442020971,20.30109442020971,20.30109442020971,20.30109442020971,0
4,D,4,2387.9659534615294,2370.1103431878373,2100.79590379733,2075.842607875138,1
4,I,2,219.00963370402937,219.00963370402937,219.00963370402937,219.00963370402937,0
4,N,1,42.4308299459261,42.4308299459261,42.4308299459261,42.4308299459261,0
4,K,2,805.3472308047793,805.3472308047793,805.3472308047793,805.3472308047793,0
4,C,6,1654.3152716130137,1651.3523078541473,1653.7466747344936,1653.7466747344936,0
4,G,4,1776.644426887906,1776.2492260513377,1776.644426887906,1776.644426887906,0
4,E,4,2728.300978675674,2339.2609424046354,2346.600859045582,2346.600859045582,0
4,H,2,1067.5525884190406,1036.3137766608597,1067.5525884190406,1028.0467142361506,1
4,M,1,799.4561272820529,799.4561272820529,799.4561272820529,799.4561272820529,0
5,total,50,20522.122538344014,16665.53766520746,18934.68168155074,18667.56234305253,2
5,E,4,215.023542064292,62.35823968058195,215.023542064292,215.023542064292,0
5,A,7,1787.1893783858573,1784.685294398781,1782.2579287484034,1733.7361682368967,1
5,D,6,2486.97325789455,2464.8737383402868,2486.97325789455,2486.97325789455,0
5,G,4,1599.2696635289021,1320.0026557290048,1481.8194010892598,1480.7876128282544,1
5,K,1,36.63812326874128,6.72945121262595,36.63812326874128,36.63812326874128,0
5,F,4,892.6644136385892,405.7703327052622,867.7454818527027,867.7454818527027,0
5,B,6,2625.9033487374077,2619.5207541886293,1991.7535879405077,1949.6006656923903,1
5,O,1,127.18639970238452,31.79659992559613,127.18639970238452,127.18639970238452,0
5,J,2,1956.8585249595799,570.9345036528454,1956.8585249595799,1781.4456574819976,1
5,C,6,3509.9264076701265,3507.5491375928323,2853.1040905908953,2853.1040905908953,0
5,N,1,134.42509299613002,134.42509299613002,134.42509299613002,134.42509299613002,0
5,I,3,1075.6597290794593,1069.5657273794914,1075.6597290794593,1075.6597290794593,0
5,M,1,611.2642919199326,112.27303320978355,611.2642919199326,611.2642919199326,0
5,L,1,547.147311650861,547.147311650861,547.147311650861,547.147311650861,0
5,H,3,2915.993052847197,2027.9057925447453,2766.82491779304,2766.82491779304,0
6,total,50,20112.944339166897,17340.30361252239,18951.635904303934,18951.635904303934,0
6,K,2,347.5888364319292,347.5888364319292,347.5888364319292,347.5888364319292,0
6,C,6,2623.9400860359965,2249.480225176316,2623.9400860359965,2623.9400860359965,0
6,I,3,112.04491456057261,108.9693029610606,112.04491456057261,112.04491456057261,0
6,E,5,3043.6046215126403,3033.3666123403937,2616.3307269471666,2616.3307269471666,0
6,A,7,1820.2771371555257,1820.242985947763,1820.2771371555257,1820.2771371555257,0
6,M,1,17.707265470423685,6.374615569352527,17.707265470423685,17.707265470423685,0
6,F,3,342.65135582796495,341.7277978990487,342.65135582796495,342.65135582796495,0
6,G,3,2016.9005200091938,784.7528362917761,2016.9005200091938,2016.9005200091938,0
6,D,6,1689.7622725290826,1687.512490213961,1677.3844544557792,1677.3844544557792,0
6,B,6,3229.8713056456254,3217.6315750660633,2838.85570243534,2838.85570243534,0
6,H,3,1828.5639760271927,1722.8664559372855,1497.9228570132914,1497.9228570132914,0
6,J,2,552.4028511554714,534.8910853010076,552.4028511554714,552.4028511554714,0
6,L,1,208.7018503741354,208.7018503741354,208.7018503741354,208.7018503741354,0
6,O,1,712.1610910892012,712.1610910892012,712.1610910892012,712.1610910892012,0
6,N,1,1566.7662553419389,564.035851923098,1566.7662553419389,1566.7662553419389,0
7,total,50,21090.789234360145,16823.69190418537,19023.34434098698,18872.520933246207,2
7,E,5,2672.5557568546183,607.46441134779,2671.512262901787,2671.512262901787,0
7,C,6,2109.3120283353765,2103.132025088238,1657.8474655705659,1626.7847583041912,1
7,J,2,324.9985202258811,321.98080082452987,324.9985202258811,324.9985202258811,0
7,G,3,839.1468449609101,833.1401127550688,839.1468449609101,833.1401127550688,1
7,F,4,1727.782281038817,1719.5505805970938,1462.8132899492025,1458.2498419699791,1
7,A,7,2974.1218494692894,2960.4744028752666,2406.2520546667624,2406.2520546667624,0
7,L,1,26.680076005523958,26.680076005523958,26.680076005523958,26.680076005523958,0
7,B,6,1840.199009262988,1819.4025064497228,1439.3264492396584,1439.3264492396584,0
7,K,2,447.0947778629529,447.0947778629529,447.0947778629529,447.0947778629529,0
7,D,5,1025.1965259007318,1013.9741595651162,977.6094088657524,868.4188885764206,1
7,H,3,1902.5095203968613,1880.3159753457762,1708.2550690722321,1708.2550690722321,0
7,N,1,496.5241114313526,115.10641266378407,496.5241114313526,496.5241114313526,0
7,M,1,868.6362121893249,134.8021302662956,868.6362121893249,868.6362121893249,0
7,O,1,560.2850007272883,560.2850007272883,560.2850007272883,560.2850007272883,0
7,I,3,3275.746719698228,2280.288531810923,3136.3627973177868,3136.3627973177868,0
8,total,50,22859.928086697655,18726.36252774988,21004.913630724015,20789.14525517541,1
8,E,5,1293.220110182516,1292.1287348864269,956.2580016056827,956.2580016056827,0
8,G,3,624.5706533263532,621.0745596569893,624.5706533263532,624.5706533263532,0
8,B,7,4168.4082971273065,4165.13198596308,4137.223965473107,4110.295824739461,1
8,C,5,4803.278216468942,3044.0502471766895,4316.042051268225,4127.201816453263,1
8,M,1,5.4251744520375,5.4251744520375,5.4251744520375,5.4251744520375,0
8,D,5,609.8433134960084,109.72310377164882,609.8433134960084,609.8433134960084,0
8,H,3,1627.170243172264,1623.1262689732116,1627.170243172264,1627.170243172264,0
8,A,8,6026.56239064092,4854.95270155565,5362.778961226719,5362.778961226718,0
8,F,4,895.098876871776,892.466699277477,828.8791920680528,828.8791920680528,0
8,I,2,253.86441656060492,247.2189753906175,171.6640930318294,171.6640930318294,0
8,K,2,301.9854920109765,285.1115678123934,301.9854920109765,301.9854920109765,0
8,L,1,269.23527332751917,60.4101305804129,269.23527332751917,269.23527332751917,0
8,N,1,399.9082677908941,224.94840063237794,399.9082677908941,399.9082677908941,0
8,J,2,937.7879934565556,895.7804275934432,750.3595806613661,750.3595806613661,0
8,O,1,643.5693678129779,404.81355002742606,643.5693678129779,643.5693678129779,0
9,total,50,22524.011428829006,19203.81876484074,20777.019142319725,20579.772489509243,1
9,A,8,2895.0045879184845,2886.6068442572437,2523.3057448450277,2523.3057448450277,0
9,E,4,1438.3406379766066,1434.3626244958077,1433.723492433919,1433.723492433919,0
9,F,4,1180.6746193516594,1180.0180845473863,884.2254224810453,884.2254224810451,0
9,G,4,516.6827791548869,515.7961894418469,506.67829681027126,506.67829681027126,0
9,I,3,2272.6409680999736,2250.3151325901267,1895.7992931269011,1714.979128592628,1
9,B,7,4988.972669608476,3893.746725564769,4771.095650735225,4771.095650735226,0
9,M,1,36.240273158015356,6.656376702492616,36.240273158015356,36.240273158015356,0
9,C,6,2285.4564524193784,2280.495797363496,1815.9525275877945,1815.9525275877945,0
9,N,1,37.97604384220086,37.97604384220086,37.97604384220086,37.97604384220086,0
9,H,3,1689.7497172461508,1054.7662836504794,1689.7497172461508,1689.7497172461508,0
9,D,5,3597.86330167953,2078.6692840112464,3597.86330167953,3581.4368134033252,1
