run,airline,num_flights,initial,max_reduction,udpp,model,offers
3,O,1,6.550540197469574,0.7278377997188415,6.550540197469574,6.550540197469574,0
3,G,5,803.936133360156,799.8690893209701,593.0847272184349,593.0847272184349,0
3,D,5,1604.0649932218757,1600.916588314301,1569.6826751887638,1569.6826751887638,0
3,C,5,3594.5850523547415,3005.377584615228,3374.7488891184935,3374.748889118493,0
3,L,1,33.2639986174536,20.12266583031144,33.2639986174536,33.2639986174536,0
3,E,5,2185.3501107101,2175.1159174373133,1696.301599794635,1696.3015997946347,0
3,M,1,47.138481590239785,47.138481590239785,47.138481590239785,47.138481590239785,0
3,H,4,1131.4063715900907,876.3297975540379,1054.8503901858846,1054.8503901858846,0
3,I,2,1154.5284908684816,1154.226592291069,863.3555495235917,863.3555495235917,0
3,N,1,159.20104142681728,159.20104142681728,159.20104142681728,159.20104142681728,0
3,J,2,2307.529172844483,804.0594984611345,2307.529172844483,2307.529172844483,0
3,K,1,583.5817680233283,583.5817680233283,583.5817680233283,583.5817680233283,0
4,total,50,22617.61288341801,20218.394600959025,21561.936551178133,21561.936551178133,0
4,E,5,1161.0413890188981,1161.0413890188981,1161.0413890188981,1161.0413890188981,0
4,B,7,2421.722525009753,2416.5649490602714,2291.6561643245273,2291.6561643245273,0
4,A,8,4157.050046672076,4156.841131547832,3778.1479855670464,3778.147985567047,0
4,N,1,11.863626041810566,2.9659065104526414,11.863626041810566,11.863626041810566,0
4,H,3,125.50181496331945,125.28733944790795,114.24467446874125,114.24467446874125,0
4,D,5,2305.5691225899754,2304.723006257572,2257.1814371059054,2257.1814371059054,0
4,F,4,941.4037623199047,927.5244784872272,941.4037623199047,941.4037623199047,0
4,I,2,528.0917742627014,528.0917742627014,528.0917742627014,528.0917742627014,0
4,L,1,67.60296334400613,67.60296334400613,67.60296334400613,67.60296334400613,0
4,G,3,1485.551033563346,784.7861640029053,1485.551033563346,1485.551033563346,0
4,C,5,3627.8150741642785,3588.7579074202395,3140.751989693307,3140.751989693307,0
4,O,1,267.52989690506587,267.52989690506587,267.52989690506587,267.52989690506587,0
4,M,1,605.2164428079885,449.77440755647183,605.2164428079885,605.2164428079885,0
4,K,2,2100.6999581204,1631.4763380270838,2100.6999581204,2100.6999581204,0
4,J,2,2810.953453634485,1805.426949110391,2810.953453634485,2810.953453634485,0
5,total,50,23145.109263198072,19441.311716159416,21452.392254549584,21415.18246436821,1
5,L,1,0.0,0.0,0.0,0.0,0
5,C,5,1043.4757059581239,1039.592929344119,1024.2842938993147,990.629141528557,1
5,A,7,3962.560330820384,3064.6023858174935,3955.0673321662102,3955.0673321662107,0
5,K,2,57.827146078414955,54.20152281116397,57.827146078414955,57.827146078414955,0
5,J,2,1205.714496232665,1171.533779369375,1205.714496232665,1205.714496232665,0
5,E,5,2102.287686289735,2102.173520093287,1959.9418440238946,1959.9418440238944,0
5,F,5,1064.2482705016691,1063.1578851961688,1035.3451829487008,1031.7905451380811,1
5,I,3,2503.6232356777086,1871.5020287253092,2503.6232356777086,2503.6232356777086,0
5,M,1,35.34993728073512,35.34993728073512,35.34993728073512,35.34993728073512,0
5,B,5,2915.347798733615,2893.754087434787,2298.9443852205472,2298.944385220547,0
5,G,4,3046.527550731481,1873.4179654814398,2910.716889309986,2910.7168893099856,0
5,H,3,1533.1077436103699,1515.2729396011343,1351.4697280724495,1351.4697280724495,0
5,N,1,100.21342294967806,76.72590194584727,100.21342294967806,100.21342294967806,0
5,D,5,2124.8955917837566,2124.384591410245,1563.9640141395375,1563.9640141395375,0
5,O,1,1449.930346549742,555.6422416483138,1449.930346549742,1449.930346549742,0
6,total,50,22124.77123722536,17862.36361775593,19651.16228333189,19651.162283331887,0
6,E,5,1067.7682723460457,1066.425500140654,873.7388655927934,873.7388655927933,0
